,Type,N,chem_class,Nucleophile_smiles,Solvent_smiles
203,C-Nucleophiles,14.46,Carbanions,C[C-]1C(=O)CCOC1=O,CS(C)=O
204,C-Nucleophiles,17,Carbanions,CC(=O)[C-]1CCCOC1=O,CS(C)=O
205,H-Nucleophiles,10.04,H-B hydride donors,Fc1c(F)c(F)c([BH-](c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CC#N
206,H-Nucleophiles,14.13,H-B hydride donors,Fc1cc(F)c([BH-](c2c(F)cc(F)cc2F)c2c(F)cc(F)cc2F)c(F)c1,CC#N
207,H-Nucleophiles,13.97,H-B hydride donors,Fc1cccc(F)c1[BH-](c1c(F)cccc1F)c1c(F)cccc1F,CC#N
208,C-Nucleophiles,18.74,Carbanions,CCOC(=O)[C-](C(=O)OCC)C(C)C,CS(C)=O
209,C-Nucleophiles,23,Carbanions,CCCC[C-](C(=O)OCC)C(=O)OCC,CS(C)=O
210,C-Nucleophiles,2.33,Alkenes,C=C1CCCCCCCCCC1,ClCCl
211,C-Nucleophiles,19.23,Carbanions,CCOC(=O)[C-](C(=O)OCC)C1CCCCC1,CS(C)=O
212,C-Nucleophiles,15.93,Carbanions,CCOC(=O)[C-](C(=O)OCC)c1ccccc1,CS(C)=O
213,C-Nucleophiles,14.94,Carbanions,CCOC(=O)[C-](C(=O)OCC)c1ccc([N+](=O)[O-])cc1,CS(C)=O
214,C-Nucleophiles,15.33,Carbanions,CCOC(=O)[C-](C(=O)OCC)C(=O)OCC,CS(C)=O
215,C-Nucleophiles,13.83,Carbanions,CCOC(=O)[C-](C(C)=O)C(=O)OCC,CS(C)=O
216,C-Nucleophiles,13.63,Carbanions,CCOC(=O)[C-](C(=O)OCC)C(=O)c1ccccc1,CS(C)=O
217,C-Nucleophiles,11.54,Carbanions,CC1(C)OC(=O)[C-](c2ccccc2)C(=O)O1,CS(C)=O
218,C-Nucleophiles,12.35,Carbanions,COc1ccc([C-]2C(=O)OC(C)(C)OC2=O)cc1,CS(C)=O
219,C-Nucleophiles,16.73,Carbanions,CCOC(=O)[C-](C(=O)OCC)c1ccc(OC)cc1,CS(C)=O
220,C-Nucleophiles,1.52,Alkenes,C=C1CCCCCCCCCCC1,ClCCl
221,N-Nucleophiles,10.4,"Pyridines, Quinolines etc.",CN1CCC[C@H]1c1cccnc1,ClCCl
222,N-Nucleophiles,10.9,"Pyridines, Quinolines etc.",Cc1cccnc1,ClCCl
223,N-Nucleophiles,16.8,Aliphatic amines,CN1CCCC1c1ccccc1,ClCCl
224,N-Nucleophiles,14.59,"Pyridines, Quinolines etc.",c1cc(N2CCOCC2)ccn1,ClCCl
225,C-Nucleophiles,1.69,Alkenes,C=C1CCCCCCCCCCCCCC1,ClCCl
226,C-Nucleophiles,4.36,Ylides,CC1(C)OC(=O)[C-]([I+]c2ccccc2)C(=O)O1,ClCCl
227,C-Nucleophiles,4.76,"Enamines, NHOs, Enamides and Ynamides",C=C(C)N(O[Si](C)(C)C)O[Si](C)(C)C,ClCCl
228,C-Nucleophiles,6.18,Ylides,CC1(C)CC(=O)[C-]([I+]c2ccccc2)C(=O)C1,ClCCl
229,C-Nucleophiles,7.98,Ylides,Cn1c(=O)[c-]([I+]c2ccccc2)c(=O)n(C)c1=O,ClCCl
230,C-Nucleophiles,4.67,Ylides,CC1CC(=O)[C-]([I+]c2ccccc2)C(=O)O1,ClCCl
231,C-Nucleophiles,15.68,Carbanions,O=S(=O)([CH-]S(=O)(=O)c1ccccc1)c1ccccc1,CS(C)=O
232,C-Nucleophiles,17.46,Carbanions,O=S(=O)(c1ccccc1)[C-](F)S(=O)(=O)c1ccccc1,CS(C)=O
233,C-Nucleophiles,17.29,Carbanions,CO[C-](S(=O)(=O)c1ccccc1)S(=O)(=O)c1ccccc1,CS(C)=O
234,C-Nucleophiles,16.06,Carbanions,O=S1(=O)[CH-]S(=O)(=O)c2ccccc21,CS(C)=O
235,C-Nucleophiles,19.03,Carbanions,O=S1(=O)c2ccccc2S(=O)(=O)[C-]1F,CS(C)=O
236,C-Nucleophiles,17.36,Carbanions,CO[C-]1S(=O)(=O)c2ccccc2S1(=O)=O,CS(C)=O
237,C-Nucleophiles,18.81,Carbanions,CCOC(=O)[CH-]S(=O)(=O)c1ccccc1,CS(C)=O
238,C-Nucleophiles,4.8,"Enamines, NHOs, Enamides and Ynamides",C=C(c1ccccc1)N(O[Si](C)(C)C)O[Si](C)(C)C,ClCCl
239,C-Nucleophiles,20.51,Carbanions,CCOC(=O)[C-](F)S(=O)(=O)c1ccccc1,CS(C)=O
240,C-Nucleophiles,19.15,Carbanions,CCOC(=O)[C-](OC)S(=O)(=O)c1ccccc1,CS(C)=O
241,C-Nucleophiles,20.63,Carbanions,CCOC(=O)[C-](F)C(=O)OCC,CS(C)=O
242,C-Nucleophiles,18.19,Carbanions,CCOC(=O)[C-](Cl)C(=O)OCC,CS(C)=O
243,C-Nucleophiles,20.08,Carbanions,COC(=O)[C-](OC)C(=O)OC,CS(C)=O
244,C-Nucleophiles,28.27,Carbanions,O=S(=O)([CH-]Cl)c1ccccc1,CS(C)=O
245,C-Nucleophiles,23.9,Carbanions,O=S(=O)([CH-]Br)c1ccccc1,CS(C)=O
246,C-Nucleophiles,25.59,Carbanions,N#Cc1ccc(S(=O)(=O)[CH-]Cl)cc1,CS(C)=O
247,C-Nucleophiles,24.88,Carbanions,O=[N+]([O-])c1ccc(S(=O)(=O)[CH-]Cl)cc1,CS(C)=O
248,C-Nucleophiles,26.9,Carbanions,O=S(=O)([CH-]Cl)c1ccc(Cl)cc1,CS(C)=O
249,C-Nucleophiles,4.23,"Enamines, NHOs, Enamides and Ynamides",C=C(C)N(O[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C,ClCCl
250,C-Nucleophiles,15.85,Carbanions,CCOC(=O)[C-](C#N)c1ccccc1,CS(C)=O
251,C-Nucleophiles,15.58,Carbanions,N#C[C-](C#N)c1ccccc1,CS(C)=O
252,C-Nucleophiles,15.97,Carbanions,N#C[C-](c1ccccc1)S(=O)(=O)c1ccccc1,CS(C)=O
253,C-Nucleophiles,15.07,Carbanions,O=S(=O)(c1ccccc1)[C-](c1ccccc1)S(=O)(=O)c1ccccc1,CS(C)=O
254,C-Nucleophiles,14.99,Carbanions,O=C(c1ccccc1)[C-](C(=O)c1ccccc1)c1ccccc1,CS(C)=O
255,P-Nucleophiles,12.4,P-Nucleophiles,CC(C)(C)P(c1ccccc1)C(C)(C)C,ClCCl
256,C-Nucleophiles,3.84,"Enamines, NHOs, Enamides and Ynamides",C=C(CCC(=O)OC)N(O[Si](C)(C)C)O[Si](C)(C)C,ClCCl
257,P-Nucleophiles,15.19,P-Nucleophiles,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,ClCCl
258,P-Nucleophiles,14.26,P-Nucleophiles,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,ClCCl
259,P-Nucleophiles,8.56,P-Nucleophiles,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,ClCCl
260,C-Nucleophiles,-3.65,Alkenes,C=C(C)Cl,ClCCl
261,O-Nucleophiles,14.29,Peroxy anions,CC(C)(C)O[O-],O
262,C-Nucleophiles,-2.41,Alkenes,C=CC,ClCCl
263,O-Nucleophiles,13.92,Peroxy anions,CC(C)(O[O-])c1ccccc1,O
264,O-Nucleophiles,16.02,Peroxy anions,O=C(CCCCCN1C(=O)c2ccccc2C1=O)O[O-],O
265,O-Nucleophiles,15.63,Peroxy anions,O=C(Cc1ccccc1)O[O-],O
266,O-Nucleophiles,17.93,Peroxy anions,O=C(O[O-])c1cc(Cl)cc(Cl)c1,O
267,O-Nucleophiles,18.43,Peroxy anions,O=C([O-])c1ccccc1C(=O)O[O-],O
268,O-Nucleophiles,18.19,Peroxy anions,O=C(O[O-])c1cccc(Cl)c1,O
269,O-Nucleophiles,17.99,Peroxy anions,O=C(O[O-])c1ccc(F)cc1,O
270,O-Nucleophiles,17.43,Peroxy anions,O=C(O[O-])c1ccc([N+](=O)[O-])cc1,O
271,O-Nucleophiles,17.84,Peroxy anions,COc1ccc(C(=O)O[O-])cc1,O
272,O-Nucleophiles,18.56,Peroxy anions,COc1ccc(C(=O)O[O-])cc1Cl,O
273,C-Nucleophiles,-2.77,Alkenes,C=CCCCC,ClCCl
274,O-Nucleophiles,18.57,Peroxy anions,O=C(O[O-])c1ccccc1,O
275,C-Nucleophiles,15.59,Carbanions,O=c1[cH-]c(=O)[nH]c(=O)[nH]1,CS(C)=O
276,C-Nucleophiles,17.46,Carbanions,Cn1c(=O)[cH-]c(=O)n(C)c1=O,CS(C)=O
277,C-Nucleophiles,14.24,Carbanions,O=c1[cH-]c(=O)[nH]c(=S)[nH]1,CS(C)=O
278,C-Nucleophiles,14.9,Carbanions,CCn1c(=O)[cH-]c(=O)n(CC)c1=S,CS(C)=O
279,C-Nucleophiles,-0.64,Allyl Element Compounds,C=CCB1OC(C)(C)C(C)(C)O1,ClCCl
280,C-Nucleophiles,5.29,Allyl Element Compounds,C=CC[B-](F)(F)F,CC#N
281,C-Nucleophiles,8.71,Allyl Element Compounds,C=CC[B-]1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)OC(C)(C)C(C)(C)O1,CC#N
282,C-Nucleophiles,11.2,Allyl Element Compounds,C=CC[B-]1(c2ccccc2)OC(C)(C)C(C)(C)O1,CC#N
283,C-Nucleophiles,9.49,Allyl Element Compounds,C/C=C/C[B-]1(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)OC(C)(C)C(C)(C)O1,CC#N
284,C-Nucleophiles,0.08,Alkenes,CC1=CCCCC1,ClCCl
285,C-Nucleophiles,11.99,"Enamines, NHOs, Enamides and Ynamides",COc1ccc(/C=C(\c2ccccc2)N2CCCC2)cc1,CC#N
286,C-Nucleophiles,11.66,"Enamines, NHOs, Enamides and Ynamides",C(=C(\c1ccccc1)N1CCCC1)\c1ccccc1,CC#N
287,C-Nucleophiles,10.63,"Enamines, NHOs, Enamides and Ynamides",N#Cc1ccc(/C=C(\c2ccccc2)N2CCCC2)cc1,CC#N
288,C-Nucleophiles,10.42,"Enamines, NHOs, Enamides and Ynamides",O=[N+]([O-])c1ccc(/C=C(\c2ccccc2)N2CCCC2)cc1,CC#N
289,C-Nucleophiles,9.94,"Enamines, NHOs, Enamides and Ynamides",C(=C(\c1ccccc1)N1CCCCC1)\c1ccccc1,CC#N
290,C-Nucleophiles,8.78,"Enamines, NHOs, Enamides and Ynamides",C(=C(\c1ccccc1)N1CCOCC1)\c1ccccc1,CC#N
291,C-Nucleophiles,13.84,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCCCC1)\c1ccccc1,CC#N
292,C-Nucleophiles,11.66,"Enamines, NHOs, Enamides and Ynamides",C(=C/N1CCOCC1)\c1ccccc1,CC#N
293,C-Nucleophiles,11.6,"Enamines, NHOs, Enamides and Ynamides",C=C(c1ccccc1)N1CCCCC1,CC#N
294,C-Nucleophiles,0.65,Alkenes,CC=C(C)C,ClCCl
295,C-Nucleophiles,1.11,Alkenes,C=C(C)C,ClCCl
296,O-Nucleophiles,14.5,Other O-centered nucleophiles,[O-]Cl,O
297,O-Nucleophiles,16.69,Other O-centered nucleophiles,[O-]Br,O
298,O-Nucleophiles,12.75,Other O-centered nucleophiles,[O-][Br+][O-],O
299,O-Nucleophiles,14.41,Other O-centered nucleophiles,O=S(=O)([O-])O[O-],O
300,C-Nucleophiles,1.7,Alkenes,C=Cc1ccc(C)cc1,ClCCl
301,C-Nucleophiles,1.1,Alkenes,C=CC(=C)C,ClCCl
302,C-Nucleophiles,7.17,Diazo Compounds and Hydrazones,[N-]=[N+]=Cc1ccc([N+](=O)[O-])cc1,ClCCl
303,C-Nucleophiles,7.66,Diazo Compounds and Hydrazones,N#Cc1ccc(C=[N+]=[N-])cc1,ClCCl
304,C-Nucleophiles,8.87,Diazo Compounds and Hydrazones,[N-]=[N+]=Cc1ccc(Br)cc1,ClCCl
305,O-Nucleophiles,13.94,Peroxy anions,O=C(CC[NH+]1CCCCC1)O[O-],O
306,O-Nucleophiles,14.07,Peroxy anions,[NH3+]CCC(=O)O[O-],O
307,O-Nucleophiles,14.33,Peroxy anions,[NH3+]CCCC(=O)O[O-],O
308,C-Nucleophiles,6.43,Enol Ethers,C[Si](C)(C)OC1=CCCC1,CC#N
309,C-Nucleophiles,-0.57,Allyl Element Compounds,C=CC[Si](C)(C)Cl,ClCCl
310,C-Nucleophiles,26.95,Carbanions,CCOC(=O)[CH-]N=C(c1ccccc1)c1ccccc1,CS(C)=O
311,C-Nucleophiles,27.77,Carbanions,CC(C)(C)OC(=O)[CH-]N=C(c1ccccc1)c1ccccc1,CS(C)=O
312,C-Nucleophiles,29.1,Carbanions,CCOC(=O)[CH-]/N=C/c1ccccc1,CS(C)=O
313,C-Nucleophiles,29.02,Carbanions,CCOC(=O)[CH-]/N=C/c1ccc(Cl)cc1,CS(C)=O
314,C-Nucleophiles,30.82,Carbanions,CCOC(=O)[C-](C)N=Cc1ccccc1,CS(C)=O
315,C-Nucleophiles,29.5,Carbanions,N#C[CH-]N=C(c1ccccc1)c1ccccc1,CS(C)=O
316,C-Nucleophiles,3,Enol Ethers,C[Si](C)(C)OC(=Cc1ccccc1)c1ccccc1,CC#N
317,C-Nucleophiles,5.18,Enol Ethers,C/C=C(\O[Si](C)(C)C)c1ccccc1,CC#N
318,C-Nucleophiles,7.32,Enol Ethers,C[Si](C)(C)OC1=CCc2ccccc21,CC#N
319,C-Nucleophiles,5.06,Enol Ethers,C[Si](C)(C)OC1=CCCc2ccccc21,CC#N
320,C-Nucleophiles,0.9,Allyl Element Compounds,CC(C)=CC[Si](C)(C)C,ClCCl
321,C-Nucleophiles,15.27,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCC2)c2ccccc2C1,CC#N
322,C-Nucleophiles,14.09,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCC2)c2ccccc2CC1,CC#N
323,C-Nucleophiles,16.26,Carbanions,CCOC(=O)[CH-]C(=O)c1ccc([N+](=O)[O-])cc1,CS(C)=O
324,H-Nucleophiles,25.54,H-P hydride donors,CC(C)(C)N1C=CN(C(C)(C)C)P1,CC#N
325,H-Nucleophiles,20.93,H-P hydride donors,CC(C)(C)N1PN(C(C)(C)C)c2ccccc21,CC#N
326,H-Nucleophiles,19.85,H-P hydride donors,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)P1,CC#N
327,H-Nucleophiles,13.46,H-P hydride donors,CC(C)(C)N1CCCN(C(C)(C)C)P1,CC#N
328,H-Nucleophiles,18.74,H-P hydride donors,CC(C)(C)N1CCN(C(C)(C)C)P1,CC#N
329,H-Nucleophiles,17.68,H-P hydride donors,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)P2)c(C)c1,CC#N
330,C-Nucleophiles,9.09,Ylides,O=CC=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC#N
331,C-Nucleophiles,4.67,Allyl Element Compounds,C=C(C)C[Ge](c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
332,C-Nucleophiles,10.27,Ylides,CC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC#N
333,O-Nucleophiles,14.32,Phenolate Ions,O=[N+]([O-])c1ccc([O-])cc1,CS(C)=O
334,C-Nucleophiles,1.8,Allyl Element Compounds,C=CC[Si](C)(C)C(C)(C)C,ClCCl
335,O-Nucleophiles,21.29,Phenolate Ions,O=[N+]([O-])c1cccc([O-])c1,CS(C)=O
336,O-Nucleophiles,18.78,Phenolate Ions,N#Cc1ccc([O-])cc1,CS(C)=O
337,O-Nucleophiles,18.47,Phenolate Ions,[O-]c1ccccc1C(F)(F)F,CS(C)=O
338,C-Nucleophiles,1.93,Allyl Element Compounds,C=CC[Si](CC)(CC)CC,ClCCl
339,O-Nucleophiles,18.98,Phenolate Ions,[O-]c1ccc(C(F)(F)F)cc1,CS(C)=O
340,O-Nucleophiles,22.62,Phenolate Ions,[O-]c1cccc(C(F)(F)F)c1,CS(C)=O
341,O-Nucleophiles,20.34,Phenolate Ions,[O-]c1ccc(Cl)cc1,CS(C)=O
342,C-Nucleophiles,2.04,Allyl Element Compounds,C=CC[Si](C(C)C)(C(C)C)C(C)C,ClCCl
343,O-Nucleophiles,19.86,Phenolate Ions,[O-]c1ccccc1,CS(C)=O
344,O-Nucleophiles,19.08,Phenolate Ions,Cc1ccc([O-])cc1,CS(C)=O
345,O-Nucleophiles,19.67,Phenolate Ions,CC(C)(C)c1ccc([O-])cc1,CS(C)=O
346,O-Nucleophiles,20.09,Phenolate Ions,COc1ccc([O-])cc1,CS(C)=O
347,C-Nucleophiles,2.09,Allyl Element Compounds,C=CC[Si](CCCC)(CCCC)CCCC,ClCCl
348,O-Nucleophiles,18.81,Phenolate Ions,COc1cccc([O-])c1,CC#N
349,O-Nucleophiles,21.02,Phenolate Ions,CC(C)(C)c1cccc(C(C)(C)C)c1[O-],CS(C)=O
350,S-Nucleophiles,20.97,S- and Se-Nucleophiles,[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-],O
351,N-Nucleophiles,19.95,Aliphatic amines,O=C([O-])[C@@H]1CCCN1,CC#N
352,N-Nucleophiles,16.78,Aliphatic amines,CC1CCCN1,CC#N
353,N-Nucleophiles,18.52,Aliphatic amines,C1CCNC1,CC#N
354,N-Nucleophiles,16.44,Aliphatic amines,CC(C)[C@H]1CCCN1,CC#N
355,N-Nucleophiles,13.96,Aliphatic amines,CC1(C)CCCN1,CC#N
356,C-Nucleophiles,2.11,Allyl Element Compounds,C=CC[Si](CCCCCC)(CCCCCC)CCCCCC,ClCCl
357,N-Nucleophiles,17.43,Aliphatic amines,c1ccc(CC2CCCN2)cc1,CC#N
358,N-Nucleophiles,16.61,Aliphatic amines,c1ccc(C(c2ccccc2)[C@@H]2CCCN2)cc1,CC#N
359,N-Nucleophiles,17.24,Aliphatic amines,NC[C@@H]1CCCN1,CC#N
360,N-Nucleophiles,17.41,Aliphatic amines,CN(C)C[C@@H]1CCCN1,CC#N
361,N-Nucleophiles,18.33,Aliphatic amines,C1CN[C@H](CN2CCCC2)C1,CC#N
362,N-Nucleophiles,15.43,Aliphatic amines,[N-]=[N+]=NC[C@@H]1CCCN1,CC#N
363,N-Nucleophiles,16.74,Aliphatic amines,OC[C@@H]1CCCN1,CC#N
364,N-Nucleophiles,16.5,Aliphatic amines,COC[C@@H]1CCCN1,CC#N
365,N-Nucleophiles,11.34,Aliphatic amines,FC(F)(F)C1CCCN1,CC#N
366,N-Nucleophiles,14.75,Aliphatic amines,COC(=O)[C@@H]1CCCN1,CC#N
367,C-Nucleophiles,1.69,Allyl Element Compounds,C/C=C\C[Si](C)(C)C,ClCCl
368,N-Nucleophiles,17.61,Aliphatic amines,CN(C)C(=O)[C@@H]1CCCN1,CC#N
369,N-Nucleophiles,15.2,Aliphatic amines,CCCNC(=O)[C@@H]1CCCN1,CC#N
370,N-Nucleophiles,15.9,Aliphatic amines,O=C1c2ccccc2C(=O)N1C[C@@H]1CCCN1,CC#N
371,N-Nucleophiles,15.32,Aliphatic amines,c1ccc(-c2cn(C[C@@H]3CCCN3)nn2)cc1,CC#N
372,N-Nucleophiles,15.55,Aliphatic amines,c1cn(C[C@@H]2CCCN2)cn1,CC#N
373,N-Nucleophiles,13.57,Aliphatic amines,CCCC[n+]1ccn(C[C@@H]2CCCN2)c1,CC#N
374,N-Nucleophiles,14.97,Aliphatic amines,FC(F)(F)c1cc(NC(=S)NC[C@@H]2CCCN2)cc(C(F)(F)F)c1,CC#N
375,N-Nucleophiles,17.5,Aliphatic amines,O=C(NC[C@@H]1CCCN1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC#N
376,N-Nucleophiles,9.16,Aliphatic amines,c1ccc(C(c2ccccc2)(c2ccccc2)C2CCCN2)cc1,CC#N
377,N-Nucleophiles,12.03,Aliphatic amines,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,CC#N
378,C-Nucleophiles,1.94,Allyl Element Compounds,C/C=C/C[Si](C)(C)C,ClCCl
379,N-Nucleophiles,16.18,Aliphatic amines,OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,CC#N
380,N-Nucleophiles,9.9,Aliphatic amines,[N-]=[N+]=NC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,CC#N
381,N-Nucleophiles,14,Aliphatic amines,c1ccc([Si](c2ccccc2)(c2ccccc2)C2CCCN2)cc1,CC#N
382,N-Nucleophiles,6.04,Aliphatic amines,CN1C(=O)[C@H](Cc2ccccc2)NC1(C)C,CC#N
383,N-Nucleophiles,5.44,Aliphatic amines,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,CC#N
384,N-Nucleophiles,8.76,Aliphatic amines,Cc1ccc([C@H]2N[C@@H](Cc3ccccc3)C(=O)N2C)o1,CC#N
385,N-Nucleophiles,7.39,Aliphatic amines,Cc1ccc([C@@H]2N[C@@H](Cc3ccccc3)C(=O)N2C)o1,CC#N
386,C-Nucleophiles,3.15,Allyl Element Compounds,CC[Si](CC)(CC)CC(C)=C(C)C,ClCCl
387,C-Nucleophiles,0.06,Alkenes,C=C(C)C(C)(C)C,ClCCl
388,C-Nucleophiles,0.65,Alkenes,C=C(C)C(C)C,ClCCl
389,C-Nucleophiles,16.15,Carbanions,O=S(=O)([CH-]c1ccc(C(F)(F)F)cc1)C(F)(F)F,CC#N
390,C-Nucleophiles,15.62,Carbanions,N#Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1,CC#N
391,C-Nucleophiles,20.1,Carbanions,N#C[CH-]c1ccc([N+](=O)[O-])cc1,CC#N
392,C-Nucleophiles,19.9,Carbanions,O=[N+]([O-])c1ccc([CH-]S(=O)(=O)c2ccccc2)cc1,CC#N
393,C-Nucleophiles,0.79,Alkenes,C=C(C)CC(C)(C)C,ClCCl
394,C-Nucleophiles,1,Alkenes,C=C(C)CC,ClCCl
395,C-Nucleophiles,0.54,Alkenes,C=C(C)CC(=C)C,ClCCl
396,C-Nucleophiles,1.14,Alkenes,C=C(C)CCC(=C)C,ClCCl
397,C-Nucleophiles,1.69,Alkenes,C=C(C)CCCC(=C)C,ClCCl
398,C-Nucleophiles,1.58,Alkenes,C=C(C)CCCCC(=C)C,ClCCl
399,C-Nucleophiles,1.33,Arenes,c1ccoc1,ClCCl
400,C-Nucleophiles,2.16,Arenes,C[Si](C)(C)c1ccco1,ClCCl
401,C-Nucleophiles,2.2,Arenes,CC[Si](CC)(CC)c1ccco1,ClCCl
402,C-Nucleophiles,2.37,Arenes,CCCC[Si](CCCC)(CCCC)c1ccco1,ClCCl
403,C-Nucleophiles,-1.01,Arenes,c1ccsc1,ClCCl
404,C-Nucleophiles,-0.8,Arenes,C[Si](C)(C)c1cccs1,ClCCl
405,C-Nucleophiles,3.63,Arenes,CCCC[Sn](CCCC)(CCCC)c1ccco1,ClCCl
406,C-Nucleophiles,1.53,Arenes,CCCC[Sn](CCCC)(CCCC)c1cccs1,ClCCl
407,C-Nucleophiles,-0.87,Alkenes,C=CC=C,ClCCl
408,C-Nucleophiles,0.66,Alkenes,C=C/C=C\C,ClCCl
409,C-Nucleophiles,1.17,Alkenes,C/C=C/C=C/C,ClCCl
410,C-Nucleophiles,1.17,Alkenes,C=C(C)C(=C)C,ClCCl
411,C-Nucleophiles,1.49,Alkenes,C=C/C=C/C,ClCCl
412,C-Nucleophiles,2.6,Alkenes,C=CC=C(C)C,ClCCl
413,C-Nucleophiles,3.09,Alkenes,C=C(C)/C=C/C,ClCCl
